"ISO_CODE","AGE_GROUP","CUTT_OF_DATA_COUNTRY","COUNTRY_NAME","AT_LEAST_ONE","COMPLETE_SCH","ADDITIONAL_1_DOSE","ADDITIONAL_2_DOSE","n","PERCENT_COMPLETE","PERCENT_ONE","PERCENT_ADDITIONAL_1","PERCENT_ADDITIONAL_2"
"ARG","18-59",2021-11-12,"ARGENTINA",22943749,18998771,44923,0,25246396,75.3,90.9,0.2,0
"ARG","60+",2021-11-12,"ARGENTINA",6797152,6467317,103519,0,7153449,90.4,95,1.4,0
"ARG","<18",2021-11-05,"ARGENTINA",5050227,897387,179,0,13205978,6.8,38.2,0,0
"ARG","18-59",2021-11-05,"ARGENTINA",22943749,18998771,44923,0,25246396,75.3,90.9,0.2,0
"ARG","60+",2021-11-05,"ARGENTINA",6797152,6467317,103519,0,7153449,90.4,95,1.4,0
"ARG","<18",2021-10-29,"ARGENTINA",939116,301884,0,0,13205978,2.3,7.1,0,0
"ARG","18-59",2021-10-29,"ARGENTINA",22392435,16766932,0,0,25246396,66.4,88.7,0,0
"ARG","60+",2021-10-29,"ARGENTINA",6768623,6351528,0,0,7153449,88.8,94.6,0,0
"ARG","<18",2021-10-22,"ARGENTINA",939116,301884,0,0,13205978,2.3,7.1,0,0
"ARG","18-59",2021-10-22,"ARGENTINA",22392435,16766932,0,0,25246396,66.4,88.7,0,0
"ARG","60+",2021-10-22,"ARGENTINA",6768623,6351528,0,0,7153449,88.8,94.6,0,0
"ARG","<18",2021-10-15,"ARGENTINA",939116,301884,0,0,13205978,2.3,7.1,0,0
"ARG","18-59",2021-10-15,"ARGENTINA",22392435,16766932,0,0,25246396,66.4,88.7,0,0
"ARG","60+",2021-10-15,"ARGENTINA",6768623,6351528,0,0,7153449,88.8,94.6,0,0
"ARG","<18",2021-10-08,"ARGENTINA",939116,301884,0,0,13205978,2.3,7.1,0,0
"ARG","18-59",2021-10-08,"ARGENTINA",22392435,16766932,0,0,25246396,66.4,88.7,0,0
"ARG","60+",2021-10-08,"ARGENTINA",6768623,6351528,0,0,7153449,88.8,94.6,0,0
"ARG","<18",2021-10-01,"ARGENTINA",583834,236766,0,0,13205978,1.8,4.4,0,0
"ARG","18-59",2021-10-01,"ARGENTINA",21977036,14508121,0,0,25246396,57.5,87.1,0,0
"ARG","60+",2021-10-01,"ARGENTINA",6748091,6258794,0,0,7153449,87.5,94.3,0,0
"ARG","<18",2021-09-24,"ARGENTINA",583834,236766,0,0,13205978,1.8,4.4,0,0
"ARG","18-59",2021-09-24,"ARGENTINA",21977036,14508121,0,0,25246396,57.5,87.1,0,0
"ARG","60+",2021-09-24,"ARGENTINA",6748091,6258794,0,0,7153449,87.5,94.3,0,0
"ARG","<18",2021-09-17,"ARGENTINA",0,0,0,0,13205978,0,0,0,0
"ARG","18-59",2021-09-17,"ARGENTINA",0,0,0,0,25246396,0,0,0,0
"ARG","60+",2021-09-17,"ARGENTINA",0,0,0,0,7153449,0,0,0,0
"ARG","<18",2021-09-10,"ARGENTINA",0,0,0,0,13205978,0,0,0,0
"ARG","18-59",2021-09-10,"ARGENTINA",0,0,0,0,25246396,0,0,0,0
"ARG","60+",2021-09-10,"ARGENTINA",0,0,0,0,7153449,0,0,0,0
"ARG","<18",2021-09-03,"ARGENTINA",0,0,0,0,13205978,0,0,0,0
"ARG","18-59",2021-09-03,"ARGENTINA",0,0,0,0,25246396,0,0,0,0
"ARG","60+",2021-09-03,"ARGENTINA",0,0,0,0,7153449,0,0,0,0
"ARG","<18",2021-08-27,"ARGENTINA",0,0,0,0,13205978,0,0,0,0
"ARG","18-59",2021-08-27,"ARGENTINA",0,0,0,0,25246396,0,0,0,0
"ARG","60+",2021-08-27,"ARGENTINA",0,0,0,0,7153449,0,0,0,0
"ARG","<18",2021-08-20,"ARGENTINA",0,0,0,0,13205978,0,0,0,0
"ARG","18-59",2021-08-20,"ARGENTINA",0,0,0,0,25246396,0,0,0,0
"ARG","60+",2021-08-20,"ARGENTINA",0,0,0,0,7153449,0,0,0,0
"ARG","<18",2021-08-13,"ARGENTINA",0,0,0,0,13205978,0,0,0,0
"ARG","18-59",2021-08-13,"ARGENTINA",0,0,0,0,25246396,0,0,0,0
"ARG","60+",2021-08-13,"ARGENTINA",0,0,0,0,7153449,0,0,0,0
"ARG","<18",2021-08-06,"ARGENTINA",0,0,0,0,13205978,0,0,0,0
"ARG","18-59",2021-08-06,"ARGENTINA",0,0,0,0,25246396,0,0,0,0
"ARG","60+",2021-08-06,"ARGENTINA",0,0,0,0,7153449,0,0,0,0
"BHS","<18",2022-06-24,"BAHAMAS",0,12767,568,0,103942,12.3,0,0.5,0
"BHS","18-59",2022-06-24,"BAHAMAS",0,114998,16858,0,242514,47.4,0,7,0
"BHS","60+",2022-06-24,"BAHAMAS",0,31773,13213,0,50458,63,0,26.2,0
"BHS","<18",2022-06-17,"BAHAMAS",0,12767,568,0,103942,12.3,0,0.5,0
"BHS","18-59",2022-06-17,"BAHAMAS",0,114998,16858,0,242514,47.4,0,7,0
"BHS","60+",2022-06-17,"BAHAMAS",0,31773,13213,0,50458,63,0,26.2,0
"BHS","<18",2022-06-10,"BAHAMAS",0,12767,568,0,103942,12.3,0,0.5,0
"BHS","18-59",2022-06-10,"BAHAMAS",0,114998,16858,0,242514,47.4,0,7,0
"BHS","60+",2022-06-10,"BAHAMAS",0,31773,13213,0,50458,63,0,26.2,0
"BHS","<18",2022-06-03,"BAHAMAS",0,12767,568,0,103942,12.3,0,0.5,0
"BHS","18-59",2022-06-03,"BAHAMAS",0,114998,16858,250,242514,47.4,0,7,0.1
"BHS","60+",2022-06-03,"BAHAMAS",0,31773,13213,779,50458,63,0,26.2,1.5
"BHS","<18",2022-05-27,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-05-27,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-05-27,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-05-20,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-05-20,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-05-20,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-05-13,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-05-13,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-05-13,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-05-06,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-05-06,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-05-06,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-04-29,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-04-29,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-04-29,"BAHAMAS",0,0,0,0,50458,0,0,0,0
"BHS","<18",2022-04-22,"BAHAMAS",0,0,0,0,103942,0,0,0,0
"BHS","18-59",2022-04-22,"BAHAMAS",0,0,0,0,242514,0,0,0,0
"BHS","60+",2022-04-22,"BAHAMAS",0,0,0,0,50458,0,0,0,0
